"商品コード","出荷実績確定日","出荷数","受注番号","出荷区分","出荷ID","届け先名"
"MXC-RN","2024/10/24","14","9000013809","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"MXC-BL","2024/10/24","14","9000013810","工場","59940(559)","赤城産業株式会社様"
"PRE-MNC-BL","2024/10/24","3","9000013811","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"PRE-MNC-CG","2024/10/24","4","9000013811","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"PRE-SPC-FN","2024/10/24","5","9000013811","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"PRE-SPC-LV","2024/10/24","3","9000013811","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"PRE-SPC-RN","2024/10/24","5","9000013811","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"LNC-MX","2024/10/24","20","9000013813","工場","59940(559)","山直スチロール株式会社様"
"LNC-MX","2024/10/24","40","9000013814","工場","59940(559)","株式会社大西コルク工業所様"
"LNC-SP","2024/10/24","40","9000013815","工場","59940(559)","株式会社積水化成品北海道様"
"LNC-MX","2024/10/24","100","9000013816","工場","59940(559)","ダイリュウ大和高田株式会社様 (インナー)"
"LNC-MN","2024/10/24","64","9000013817","工場","59940(559)","小島工業株式会社様"
"LNC-MX","2024/10/24","180","9000013817","工場","59940(559)","小島工業株式会社様"
"LNC-RL","2024/10/24","30","9000013817","工場","59940(559)","小島工業株式会社様"
"LNC-LG","2024/10/24","25","9000013818","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"LNC-MX","2024/10/24","20","9000013818","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"LNC-MX","2024/10/24","20","9000013819","工場","59940(559)","株式会社積水化成品西部 豊前工場様"
"LNC-MX","2024/10/24","40","9000013820","工場","59940(559)","株式会社メナック様"
"LNC-MN","2024/10/24","32","9000013821","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"LNC-SP","2024/10/24","40","9000013821","工場","59940(559)","カネカフォームプラスチック真岡工場様"
"DBC-GR","2024/10/24","1","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"DPC-RN","2024/10/24","4","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"DS-SPC-MK","2024/10/24","2","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"LGC-DP","2024/10/24","3","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"LGC-FN","2024/10/24","3","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"MNC-BL","2024/10/24","3","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"MNC-DG","2024/10/24","3","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"MNC-LG","2024/10/24","3","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"MNC-RN","2024/10/24","2","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"MNC-YL","2024/10/24","2","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"MXC-BL","2024/10/24","2","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"MXC-CB","2024/10/24","3","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"MXC-DG","2024/10/24","5","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"MXC-FM","2024/10/24","5","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"MXC-GR","2024/10/24","2","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"MXC-RN","2024/10/24","7","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"PDC-BK","2024/10/24","5","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"PDC-CG","2024/10/24","2","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"PDC-OG","2024/10/24","2","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"PDC-PK","2024/10/24","2","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"PDC-YC","2024/10/24","2","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"PMC-BK","2024/10/24","1","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"PMC-CR","2024/10/24","1","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"PMC-PK","2024/10/24","2","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"RLGC-NT","2024/10/24","1","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"RRLC-NT","2024/10/24","1","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"SHC-FN","2024/10/24","2","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"SHC-GR","2024/10/24","1","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"SPC-CM","2024/10/24","1","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"SPC-OG","2024/10/24","3","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"SPC-RD","2024/10/24","1","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"TS-HGC-WD","2024/10/24","1","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"ZDC-RY","2024/10/24","1","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"ZNC-GR","2024/10/24","2","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"ZXC-ST","2024/10/24","9","9000013823(1)","工場","59940(559)","山直スチロール株式会社様"
"LGC-BG","2024/10/24","2","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"LGC-BK","2024/10/24","2","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"LGC-BL","2024/10/24","4","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"LGC-GR","2024/10/24","3","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"MNC-DG","2024/10/24","4","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"MNC-LG","2024/10/24","3","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"MNC-YL","2024/10/24","3","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"MXC-BL","2024/10/24","5","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"MXC-DG","2024/10/24","4","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"MXC-GR","2024/10/24","4","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
"MXC-LG","2024/10/24","4","9000013824(1)","工場","59940(559)","株式会社大西コルク工業所様"
